english	de	fr	ko	es	ru	el	zh-Hans	zh-Hant	it	pt-BR	ja	pl
Platform	Plattform	Plateforme	플랫폼	Plataforma					Piattaforma	Plataforma		Platforma
Play	Spielen	Jouer	실행	Jugar					Gioca	Jogar		Graj
Play your Steam, Epic and Xbox games.	Steam-, Epic- und Xbox-Spiele spielen.	Jouez à vos jeux Steam, Epic et Xbox.	Steam, Epic, Xbox 게임을 실행합니다.	Juega a tus juegos de Steam, Epic y Xbox.					Gioca ai tuoi giochi Steam, Epic e Xbox.	Jogue seus jogos Steam, Epic e Xbox.		Graj w swoje gry Steam, Epic i Xbox.
Playnite is not installed.	Playnite ist nicht installiert.	Playnite n'est pas installé.	Playnite가 설치되지 않았습니다.	Playnite no está instalado.					Playnite non è installato.	O Playnite não está instalado.		Playnite nie jest zainstalowany.
Portrait covers only. No match? Edit the text above and search again.	Nur Hochkant-Cover. Nichts dabei? Text oben ändern und neu suchen.	Jaquettes portrait uniquement. Rien ? Modifiez le texte et relancez.	세로 커버만 표시됩니다. 없으면 위 문구를 고쳐 다시 검색하세요.	Solo portadas verticales. ¿Nada? Cambia el texto y busca otra vez.					Solo copertine verticali. Nessun risultato? Modifica il testo sopra e cerca di nuovo.	Só capas verticais. Sem resultado? Edite o texto acima e busque de novo.		Tylko pionowe okładki. Brak wyniku? Zmień tekst powyżej i szukaj ponownie.
Preparing your library…	Bibliothek wird vorbereitet…	Préparation de la bibliothèque…	라이브러리 준비 중…	Preparando la biblioteca…					Preparazione della libreria…	Preparando sua biblioteca…		Przygotowywanie biblioteki…
Preparing…	Wird vorbereitet…	Préparation…	준비 중…	Preparando…					Preparazione…	Preparando…		Przygotowywanie…
Present — a common double-input source. Check Steam Input if you see doubled inputs.	Vorhanden — eine häufige Quelle für doppelte Eingaben. Bei Doppeleingaben Steam Input prüfen.	Présent — source fréquente de double saisie. Vérifiez Steam Input si les entrées doublent.	존재함 — 입력이 중복되는 흔한 원인입니다. 중복 입력이 보이면 Steam Input을 확인하세요.	Presente — causa habitual de entradas dobles. Revisa Steam Input si se duplican.					Presente — una causa comune di doppio input. Controlla Steam Input se gli input risultano doppi.	Presente — fonte comum de entrada duplicada. Verifique o Steam Input se notar entradas duplas.		Obecny — częste źródło podwójnego wejścia. Sprawdź Steam Input, jeśli widzisz zdublowane wejścia.
Preserve Aspect Ratio	Seitenverhältnis beibehalten	Conserver les proportions	화면 비율 유지	Mantener la proporción					Mantieni proporzioni	Manter proporção		Zachowaj proporcje
Preset	Preset	Préréglage	프리셋	Preajuste					Preset			
Press Ⓐ on a question to open it.	Ⓐ auf einer Frage öffnet sie.	Appuie sur Ⓐ sur une question pour l'ouvrir.	질문에서 Ⓐ를 누르면 열립니다.	Pulsa Ⓐ en una pregunta para abrirla.					Premi Ⓐ su una domanda per aprirla.	Pressione Ⓐ em uma pergunta para abri-la.		Naciśnij Ⓐ na pytaniu, aby je otworzyć.
Press Ⓐ to install ClawTweaks.	Ⓐ drücken, um ClawTweaks zu installieren.	Appuyez sur Ⓐ pour installer ClawTweaks.	Ⓐ 를 누르면 ClawTweaks가 설치됩니다.	Pulsa Ⓐ para instalar ClawTweaks.					Premi Ⓐ per installare ClawTweaks.	Pressione Ⓐ para instalar o ClawTweaks.		Naciśnij Ⓐ, aby zainstalować ClawTweaks.
Press Ⓐ to open the download pages for the missing tools, install them, then press Ⓨ to re-check.	Ⓐ öffnet die Downloadseiten der fehlenden Tools; nach dem Installieren mit Ⓨ erneut prüfen.	Ⓐ ouvre les pages de téléchargement des outils manquants ; installez-les puis Ⓨ pour revérifier.	Ⓐ 는 빠진 도구의 다운로드 페이지를 엽니다. 설치한 뒤 Ⓨ 로 다시 확인하세요.	Ⓐ abre las páginas de descarga de las herramientas que faltan; instálalas y pulsa Ⓨ para revisar.					Premi Ⓐ per aprire le pagine di download degli strumenti mancanti, installali, poi premi Ⓨ per ricontrollare.	Pressione Ⓐ para abrir as páginas de download das ferramentas ausentes, instale-as e pressione Ⓨ para verificar de novo.		Naciśnij Ⓐ, aby otworzyć strony pobierania brakujących narzędzi, zainstaluj je, potem naciśnij Ⓨ, aby sprawdzić ponownie.
Preview versions for trying upcoming changes	Vorabversionen, um kommende Änderungen auszuprobieren	Versions d'essai pour tester les changements à venir	다가올 변경 사항을 미리 시험해 보는 버전	Versiones previas para probar los próximos cambios					Versioni di anteprima per provare le novità in arrivo	Versões de prévia para testar as próximas mudanças		Wersje zapoznawcze do testowania nadchodzących zmian
Probing controller topology	Controller-Topologie wird geprüft	Analyse de la manette	컨트롤러 구성을 확인하는 중	Analizando el mando					Analisi della topologia del controller	Sondando a topologia do controle		Badanie topologii kontrolera
Puts the charge limit, the fan and the controller back.	Setzt Ladelimit, Lüfter und Controller zurück.	Restaure la limite de charge, le ventilateur et la manette.	충전 제한과 팬, 컨트롤러를 되돌립니다.	Restaura el límite de carga, el ventilador y el mando.					Ripristina limite di carica, ventola e controller.	Restaura o limite de carga, a ventoinha e o controle.		Przywraca limit ładowania, wentylator i kontroler.
REBOOT REQUIRED	NEUSTART NÖTIG	REDÉMARRAGE REQUIS	재부팅 필요	REINICIO NECESARIO					RIAVVIO NECESSARIO	REINÍCIO NECESSÁRIO		WYMAGANY RESTART
Re-check	Neu prüfen	Revérifier	다시 확인	Recomprobar					Ricontrolla	Reverificar		Sprawdź znów
Re-enables MSI's tasks, service and Game Bar widget.	Aktiviert MSIs Aufgaben, Dienst und Game-Bar-Widget wieder.	Réactive les tâches, le service et le widget Game Bar de MSI.	MSI의 작업, 서비스, 게임 바 위젯을 다시 켭니다.	Reactiva las tareas, el servicio y el widget de Game Bar de MSI.					Riattiva le attività, il servizio e il widget Game Bar di MSI.	Reativa as tarefas, o serviço e o widget da Game Bar da MSI.		Ponownie włącza zadania, usługę i widżet Game Bar MSI.
Reading installed apps…	Installierte Apps werden gelesen…	Lecture des apps installées…	설치된 앱을 읽는 중…	Leyendo apps instaladas…					Lettura delle app installate…	Lendo os apps instalados…		Odczyt zainstalowanych aplikacji…
Recent	Zuletzt	Récents	최근	Recientes					Recenti	Recentes		Ostatnie
Recommendation	Empfehlung	Recommandation	권장 사항	Recomendación					Consiglio	Recomendação		Zalecenie
Recommended for everyday use	Empfohlen für den täglichen Gebrauch	Recommandé pour un usage quotidien	일상적인 사용에 권장	Recomendado para el uso diario					Consigliata per l'uso quotidiano	Recomendada para o dia a dia		Zalecana do codziennego użytku
Refresh	Neu laden	Actualiser	새로 고침	Actualizar					Aggiorna	Atualizar		Odśwież
Refresh rate	Bildwiederholrate	Rafraîchissement	주사율	Tasa de refresco					Frequenza	Taxa de atualização		Częstotliwość
Refresh status	Status neu laden	Actualiser l'état	상태 새로 고침	Actualizar estado					Aggiorna stato	Atualizar status		Odśwież stan
Relaunching from install location...	Neustart vom Installationsort...	Redémarrage depuis l'installation...	설치 위치에서 다시 시작...	Reiniciando desde la instalación...					Riavvio dalla cartella di installazione...	Reiniciando a partir da pasta de instalação...		Ponowne uruchamianie z folderu instalacji...
Remove from Favorites	Aus Favoriten entfernen	Retirer des favoris	즐겨찾기 해제	Quitar de favoritos					Rimuovi dai preferiti	Remover dos favoritos		Usuń z ulubionych
Remove from library	Aus Bibliothek entfernen	Retirer de la bibliothèque	라이브러리에서 제거	Quitar de la biblioteca					Rimuovi dalla libreria	Remover da biblioteca		Usuń z biblioteki
Remove the old version	Alte Version entfernen	Supprimer l'ancienne version	이전 버전 제거	Quitar la versión antigua					Rimuovi la versione precedente	Remover a versão antiga		Usuń starą wersję
Removes the app, its background helper and its scheduled task.	Entfernt die App, ihren Hintergrund-Helper und ihre geplante Aufgabe.	Supprime l'app, son helper en arrière-plan et sa tâche planifiée.	앱과 백그라운드 헬퍼, 예약 작업을 제거합니다.	Quita la app, su helper en segundo plano y su tarea programada.					Rimuove l'app, il suo helper in background e la sua attività pianificata.	Remove o app, seu helper em segundo plano e sua tarefa agendada.		Usuwa aplikację, jej helper w tle i zadanie zaplanowane.
Removes this app and closes it.	Entfernt diese App und schließt sie.	Supprime cette app et la ferme.	이 앱을 제거하고 닫습니다.	Quita esta app y la cierra.					Rimuove questa app e la chiude.	Remove este app e o fecha.		Usuwa tę aplikację i ją zamyka.
Removing Center…	Entfernt Center…	Suppression de Center…	Center 제거 중…	Quitando Center…					Rimozione di Center…	Removendo o Center…		Usuwanie Center…
Removing ClawTweaks…	Entfernt ClawTweaks…	Suppression de ClawTweaks…	ClawTweaks 제거 중…	Quitando ClawTweaks…					Rimozione di ClawTweaks…	Removendo o ClawTweaks…		Usuwanie ClawTweaks…
Removing leftover helper…	Übrig gebliebenen Helper entfernen…	Suppression du helper restant…	남은 헬퍼 제거 중…	Quitando el helper sobrante…					Rimozione dell'helper residuo…	Removendo helper restante…		Usuwanie pozostałego helpera…
Renaming looks for new cover art.	Beim Umbenennen wird neues Cover gesucht.	Renommer relance la recherche de jaquette.	이름을 바꾸면 커버를 다시 찾습니다.	Al renombrar se busca nueva portada.					Rinominare cerca nuove copertine.	Renomear procura novas capas.		Zmiana nazwy szuka nowych okładek.
Required tools	Benötigte Tools	Outils requis	필요한 도구	Herramientas necesarias					Strumenti richiesti	Ferramentas necessárias		Wymagane narzędzia
Required tools (HidHide, RTSS, usbip, PawnIO) already installed.	Benötigte Tools (HidHide, RTSS, usbip, PawnIO) sind installiert.	Outils requis (HidHide, RTSS, usbip, PawnIO) déjà installés.	필요한 도구(HidHide, RTSS, usbip, PawnIO)가 이미 설치됨.	Herramientas necesarias (HidHide, RTSS, usbip, PawnIO) ya instaladas.					Strumenti richiesti (HidHide, RTSS, usbip, PawnIO) già installati.	Ferramentas necessárias (HidHide, RTSS, usbip, PawnIO) já instaladas.		Wymagane narzędzia (HidHide, RTSS, usbip, PawnIO) są już zainstalowane.
Requirements	Voraussetzungen	Prérequis	요구 사항	Requisitos					Requisiti	Requisitos		Wymagania
Rescan	Neu laden	Rescanner	다시 검색	Reescanear					Riesamina	Reexaminar		Skanuj znów
Reset complete	Reset fertig	Reset terminé	초기화 완료	Restablecimiento listo					Reset completato	Redefinição concluída		Reset zakończony
Reset failed	Reset fehlgeschlagen	Échec du reset	초기화 실패	Fallo al restablecer					Reset non riuscito	Falha na redefinição		Błąd resetu
Reset the app, or back up your profiles.	App zurücksetzen oder Profile sichern.	Réinitialiser l'app ou sauvegarder vos profils.	앱을 초기화하거나 프로필을 백업합니다.	Restablece la app o guarda tus perfiles.					Azzera l'app o fai un backup dei profili.	Redefina o app ou faça backup dos seus perfis.		Zresetuj aplikację lub zapisz kopię profili.
Resetting all ClawTweaks settings…	Setzt alle ClawTweaks-Einstellungen zurück…	Réinitialisation de tous les réglages ClawTweaks…	모든 ClawTweaks 설정을 초기화하는 중…	Restableciendo todos los ajustes de ClawTweaks…					Azzeramento di tutte le impostazioni ClawTweaks…	Redefinindo todas as configurações do ClawTweaks…		Resetowanie wszystkich ustawień ClawTweaks…
Resolution	Auflösung	Résolution	해상도	Resolución					Risoluzione	Resolução		Rozdzielczość
Restart	Neu starten	Redémarrer	다시 시작	Reiniciar					Riavvia	Reiniciar		Restartuj
Restore	Zurücksetzen	Restaurer	되돌리기	Restaurar					Ripristina	Restaurar		Przywróć
Restore Backup	Backup zurückspielen	Restaurer un backup	백업 복원	Restaurar copia					Ripristina backup	Restaurar backup		Przywróć kopię
Restore Backup takes a safety copy before it writes.	Restore Backup legt vorher eine Sicherheitskopie an.	Restore Backup fait une copie de sécurité avant d'écrire.	Restore Backup은 쓰기 전에 안전 복사본을 만듭니다.	Restore Backup hace una copia de seguridad antes de escribir.					Ripristina backup fa una copia di sicurezza prima di scrivere.	Restaurar backup faz uma cópia de segurança antes de gravar.		Przywróć kopię zapisuje kopię bezpieczeństwa przed zapisem.
Restore complete	Zurückspielen fertig	Restauration terminée	복원 완료	Restauración lista					Ripristino completato	Restauração concluída		Przywracanie zakończone
Restore failed	Nicht zurückgespielt	Restauration échouée	복원 실패	Fallo al restaurar					Ripristino non riuscito	Falha na restauração		Błąd przywracania
Restore the device	Gerät zurücksetzen	Restaurer l'appareil	기기 되돌리기	Restaurar el dispositivo					Ripristina il dispositivo	Restaurar o dispositivo		Przywróć urządzenie
Restore the device and remove everything.	Gerät zurücksetzen und alles entfernen.	Restaure l'appareil et supprime tout.	기기를 되돌리고 모두 제거합니다.	Restaura el dispositivo y lo quita todo.					Ripristina il dispositivo e rimuovi tutto.	Restaura o dispositivo e remove tudo.		Przywraca urządzenie i usuwa wszystko.
Restore the device first	Erst das Gerät zurücksetzen	Restaure l'appareil d'abord	먼저 기기를 되돌리세요	Restaura el dispositivo primero					Ripristina prima il dispositivo	Restaure o dispositivo primeiro		Najpierw przywróć urządzenie
Restore this backup?	Dieses Backup zurückholen?	Restaurer ce backup ?	이 백업을 복원할까요?	¿Restaurar esta copia?					Ripristinare questo backup?	Restaurar este backup?		Przywrócić tę kopię?
